name,field,subcategory,mbti
Trevor Story,Sports,Baseball,ISFP
Trevor Zegras,Sports,Hockey,ENFP
Trey Mancini,Sports,Baseball,ISFJ
Trey Sermon,Sports,Football,ISFP
Triple H,Sports,Wrestling,ENTJ
Tris Speaker,Sports,Baseball,ISTJ
Trish Stratus,Sports,Wrestling,ESFP
Tristan Tate,Sports,MMA,ENTJ
Tristan Thompson,Sports,Basketball,ESFP
Triston Casas,Sports,Baseball,ISFP
Trompowsky Attack,Sports,Chess,ENTP
Troy Percival,Sports,Baseball,ESTJ
Troy Polamalu,Sports,Football,ISFP
Troy Tulowitzki,Sports,Baseball,ESFJ
Tua Tagovailoa,Sports,Football,ESFP
Tuğba Şenoğlu,Sports,Volleyball,ESTJ
Túlio Maravilha,Sports,Football,ESFP
Tully Blanchard,Sports,Wrestling,ISFJ
Tuukka Rask,Sports,Hockey,ISTJ
Ty Cobb,Sports,Baseball,ESTP
Ty Law,Sports,Football,ENFJ
Tyler Clippard,Sports,Baseball,ISTJ
Tyler Glasnow,Sports,Baseball,ENFP
Tyler Herro,Sports,Basketball,ISTP
Tyler Seguin,Sports,Hockey,ESFP
Tyrann Mathieu,Sports,Football,ESFP
Tyreek Hill,Sports,Football,ESFP
Tyrese Maxey,Sports,Basketball,ESFP
Tyrod Taylor,Sports,Football,ENFP
Tyron Woodley,Sports,MMA,ISTP
Tyrone Mings,Sports,Football,INFJ
Tyson Fury,Sports,Boxing,ESFP
Ubaldo Jimenez,Sports,Baseball,ISTP
Umaga,Sports,Wrestling,ISTJ
Ünal Karaman,Sports,Football,ENFJ
Ura Kazuki,Sports,Wrestling,ISFP
Uriah Hall,Sports,MMA,INFP
Urijah Faber,Sports,MMA,ESFP
Urs Kalecinski,Sports,Bodybuilding,ESFP
Usain Bolt,Sports,Track & Field,ESTP
Václav Mikulášek,Sports,MMA,ESFP
Vahap Şanal,Sports,Chess,INTP
Val Venis,Sports,Wrestling,ESTP
Valentina Shevchenko,Sports,MMA,ISTP
Valentino Rossi,Sports,Motorsport,ESFP
Valeri Karpin,Sports,Football,ENTJ
